MSOAcode,NAIAHC
E02004297,25600
E02004290,27500
E02004298,26700
E02004299,22400
E02004291,20900
E02004300,19500
E02004292,27900
E02004301,18600
E02004302,20200
E02004303,22800
E02004293,20600
E02004304,21700
E02004294,30400
E02004305,21500
E02004295,26200
E02004320,26300
E02004321,22500
E02004322,19100
E02004296,23700
E02004306,27100
E02004323,23600
E02004308,31500
E02004309,26900
E02004307,24000
E02004324,24400
E02004310,24400
E02004311,25400
E02004312,29800
E02004313,21500
E02004314,30800
E02004316,21600
E02004325,18500
E02004315,35200
E02004326,20700
E02004328,21200
E02004327,18300
E02004329,25700
E02004317,23800
E02004330,22200
E02004331,20800
E02004318,26600
E02004348,26400
E02004332,23200
E02004319,25400
E02004349,19600
E02004350,23700
E02004333,25600
E02004334,21000
E02004335,20500
E02004336,19700
E02004351,19200
E02004337,23900
E02004338,21800
E02004339,30100
E02004352,21200
E02004353,24300
E02004354,21800
E02004355,18200
E02004340,19700
E02004341,28300
E02004342,17900
E02004343,22200
E02004344,22700
E02004345,25000
E02004346,27300
E02004347,27200
E02002559,30200
E02002560,25000
E02002561,25900
E02002562,19500
E02002563,22500
E02002564,22100
E02002565,23500
E02002566,18600
E02002567,20700
E02002568,32200
E02002569,33900
E02002570,19700
E02002571,20500
E02002572,20800
E02002573,31300
E02002483,26400
E02002484,18400
E02002485,19100
E02002487,17900
E02002488,28800
E02002489,19400
E02002490,18900
E02002491,18900
E02002492,21600
E02002493,27600
E02002494,18100
E02006909,29300
E02002496,15400
E02002497,16100
E02002498,14500
E02002499,17200
E02002500,21600
E02002501,20300
E02002502,17400
E02002503,19700
E02002504,23900
E02002505,16500
E02002506,17100
E02002507,28400
E02002508,28100
E02002509,22100
E02002510,28500
E02002512,30600
E02002513,20800
E02002514,24000
E02006811,32100
E02005706,21200
E02005707,26200
E02005708,25100
E02005702,31000
E02005703,24800
E02005704,25300
E02005705,29200
E02005720,24100
E02005734,20800
E02005735,19900
E02005721,26700
E02005737,25800
E02005736,21100
E02005738,25500
E02005722,32000
E02005723,23900
E02005739,24100
E02005724,35400
E02005727,26500
E02005740,22300
E02005741,28100
E02005709,16900
E02005710,21500
E02005711,20300
E02005712,23200
E02005713,29800
E02005714,32600
E02005716,25000
E02005715,20400
E02005717,26400
E02005718,26800
E02005719,24900
E02005725,32900
E02005726,36600
E02005730,29100
E02005729,30200
E02005728,25500
E02005731,26100
E02005732,32300
E02005733,28900
E02002515,20300
E02002516,22900
E02002517,21300
E02002518,28600
E02002519,21100
E02002520,28000
E02002521,26100
E02002523,16300
E02002524,24000
E02002525,23400
E02002526,23300
E02002527,19100
E02002529,24100
E02002530,21800
E02002532,21200
E02002533,29700
E02002534,31200
E02006812,25300
E02006910,21300
E02002535,29000
E02002536,23400
E02002537,18600
E02002538,22900
E02002539,33600
E02002540,30000
E02002541,23200
E02002542,18500
E02002543,19500
E02002544,19100
E02002545,25600
E02002546,19100
E02002547,27600
E02002548,17300
E02002549,28000
E02002550,25200
E02002551,19200
E02002552,22700
E02002553,22400
E02002554,19200
E02002555,29900
E02002556,31700
E02002557,33400
E02002558,32400
E02001682,26600
E02001683,26100
E02001684,19500
E02001685,21100
E02001686,26400
E02001688,21400
E02001689,18800
E02001690,25900
E02001691,19800
E02001692,19000
E02001693,20300
E02001694,23200
E02001695,26600
E02001696,20000
E02001697,27500
E02001698,30300
E02001699,22100
E02001700,25500
E02001701,31200
E02001702,19200
E02001703,27900
E02001704,21800
E02001705,20800
E02001706,22700
E02001707,22800
E02006841,23000
E02006842,22000
E02001708,27900
E02001709,32800
E02001710,19700
E02001711,20400
E02001712,32200
E02001713,32200
E02001714,30300
E02001715,20900
E02001718,19100
E02001719,26300
E02001720,31700
E02001721,22800
E02001722,21800
E02001723,20300
E02001724,29800
E02001725,22600
E02001726,21000
E02001727,22100
E02001728,22300
E02001729,18700
E02001730,23300
E02001731,20000
E02001732,19200
E02001733,16700
E02001734,18800
E02001735,15500
E02001736,14500
E02001737,16000
E02006893,27700
E02001738,35200
E02001739,22000
E02001740,35200
E02001741,26900
E02001742,30000
E02001743,26100
E02001744,26300
E02001745,23200
E02001746,25600
E02001747,30000
E02001748,23900
E02001749,26200
E02001750,29000
E02001751,23400
E02001752,19800
E02001753,28000
E02001754,29800
E02001755,29400
E02001756,21700
E02001757,24500
E02001758,25100
E02001759,22500
E02001760,17100
E02001761,20900
E02001762,24100
E02001763,18800
E02001764,17400
E02001765,19300
E02001766,19800
E02001767,21400
E02001768,22100
E02001769,17700
E02001770,24500
E02001771,21600
E02001772,23000
E02001773,28500
E02001774,20400
E02001775,20800
E02001776,21900
E02001777,24200
E02001778,19200
E02001779,18500
E02001780,22100
E02001781,18100
E02001782,21100
E02001783,18700
E02001784,20200
E02001785,23500
E02001786,20600
E02001787,22500
E02001788,23000
E02001789,33500
E02001790,27800
E02001791,29400
E02001792,28500
E02001793,18300
E02001794,18800
E02001795,19200
E02001796,23800
E02001797,26800
E02001798,21000
E02001799,18000
E02001800,23700
E02001801,18900
E02001802,18100
E02001803,19500
E02001804,22500
E02001805,23600
E02001806,17200
E02001807,23700
E02001808,22800
E02001809,24600
E02001810,25400
E02001811,21000
E02001812,28400
E02001813,18400
E02001814,22400
E02001815,26600
E02001816,20400
E02001817,21700
E02001818,22800
E02001819,28600
E02001820,23900
E02001821,24800
E02001822,25200
E02001823,22800
E02001824,23900
E02001825,24000
E02001826,21400
E02002615,22400
E02002616,23900
E02002617,17000
E02002618,17700
E02002619,16400
E02002620,15200
E02002621,14700
E02002622,16900
E02002623,18800
E02002624,29400
E02002625,19600
E02002626,20900
E02002627,27600
E02002628,22100
E02002629,19100
E02002630,20200
E02002631,25400
E02002632,31400
E02002633,22600
E02002634,21400
E02002635,23800
E02002636,21200
E02002637,21100
E02002638,15800
E02002639,14400
E02002640,14400
E02002641,21800
E02002642,13700
E02002643,17200
E02002644,22700
E02002645,12500
E02002646,18700
E02002647,17600
E02002648,17600
E02002649,20600
E02002650,22700
E02002651,23000
E02003853,31700
E02003854,31100
E02003855,32300
E02003856,27000
E02003857,29600
E02003858,38200
E02003859,33800
E02003860,36300
E02003861,28300
E02003863,35100
E02003862,40800
E02003864,37700
E02003865,29700
E02003866,34900
E02003867,29700
E02003868,24600
E02003869,30200
E02003870,25000
E02003871,23800
E02003872,32700
E02003873,22200
E02003811,35100
E02003812,33000
E02003813,28300
E02003814,27700
E02003815,22500
E02003816,24400
E02003817,28600
E02003818,32900
E02003819,30500
E02003820,28900
E02003821,27000
E02003822,29700
E02003825,29900
E02003826,21100
E02003827,20000
E02003828,21500
E02003829,27800
E02003830,21100
E02003823,27000
E02003831,31000
E02003824,31700
E02003832,21200
E02003833,25700
E02003834,23100
E02003835,32900
E02003836,26700
E02003838,30200
E02003837,33300
E02003839,27300
E02003840,32600
E02003841,27800
E02003874,30900
E02003875,32400
E02003842,34500
E02003843,24400
E02003844,29000
E02003845,18400
E02003846,19900
E02003847,32000
E02003848,22700
E02003849,19100
E02003876,27600
E02003850,26800
E02003851,28600
E02003877,32600
E02003852,30600
E02003878,29100
E02003879,24100
E02003880,26200
E02003881,25600
E02003882,22700
E02003794,29300
E02003883,35300
E02003884,33800
E02003795,31300
E02003885,31200
E02003796,25700
E02003797,30800
E02003798,19200
E02003800,33600
E02003799,21300
E02003801,28800
E02003802,24900
E02003803,27300
E02003886,22900
E02003804,28600
E02003887,25700
E02003888,21600
E02003805,33600
E02003889,19700
E02003806,33300
E02003890,24000
E02003807,33500
E02003808,22400
E02003891,34400
E02003809,31800
E02003810,30500
E02002574,32400
E02002575,31400
E02002576,23900
E02002577,19600
E02002578,23800
E02002579,21500
E02002580,17700
E02002581,25600
E02002582,33300
E02002583,18700
E02002584,24800
E02002585,23800
E02002586,18700
E02002587,21200
E02002588,19300
E02002589,31400
E02002590,31800
E02002591,29700
E02002592,26800
E02002593,26400
E02002594,23300
E02002595,19400
E02002596,27600
E02002597,20300
E02002598,33200
E02002599,29900
E02002600,22100
E02002601,29000
E02002602,19200
E02002603,29000
E02002604,29400
E02002605,26600
E02002606,21500
E02002607,23200
E02002608,29900
E02002609,21600
E02002610,34300
E02002611,31000
E02002612,31500
E02002613,36000
E02002614,39800
E02003965,24700
E02003966,28200
E02003967,24900
E02003968,25000
E02003969,19200
E02003970,29800
E02003971,28700
E02003972,24400
E02003973,19200
E02003974,24700
E02003975,29300
E02003976,27300
E02003977,27000
E02003978,26700
E02003979,31900
E02003980,20400
E02003981,26300
E02003982,28300
E02003983,20200
E02003984,18700
E02003985,24700
E02003986,24100
E02003987,23200
E02003988,26000
E02003989,28100
E02003990,29600
E02003991,29600
E02003992,23800
E02003993,30800
E02003994,23000
E02003995,20900
E02003996,23200
E02003997,20300
E02003998,22400
E02003999,28600
E02004000,24800
E02004001,27200
E02004002,31100
E02004003,26200
E02004004,23600
E02004005,26300
E02004006,32100
E02004007,24900
E02004008,27000
E02004009,28100
E02004010,23400
E02004011,27900
E02004012,29300
E02004013,27500
E02004014,26200
E02004015,27200
E02004016,25200
E02004017,26100
E02004018,23200
E02004019,28800
E02004020,28800
E02004021,29700
E02004022,29800
E02004023,29400
E02004024,31000
E02004025,28700
E02004026,26300
E02004027,27500
E02004028,29900
E02000984,32000
E02000985,30900
E02000986,27400
E02000987,22400
E02000988,21400
E02000989,28100
E02000990,26500
E02000991,25000
E02000992,28300
E02000993,16800
E02000994,15800
E02000995,25200
E02000996,17000
E02000997,27400
E02000998,17500
E02000999,14600
E02001000,19600
E02001001,23900
E02001002,21900
E02001003,31600
E02001004,14400
E02001005,16800
E02001006,17700
E02001007,23800
E02001008,15300
E02001009,20300
E02001010,18500
E02001011,29200
E02001012,20600
E02001013,27900
E02001014,22700
E02001015,19400
E02001016,17900
E02001017,24900
E02001018,27600
E02001019,28300
E02001020,32500
E02001021,31200
E02001022,24400
E02001023,26600
E02001024,27500
E02001025,18000
E02001026,17700
E02001027,23400
E02001028,30400
E02001029,19800
E02001030,27500
E02001031,23000
E02001032,24000
E02001033,22000
E02001034,17600
E02001035,27300
E02001036,24600
E02001037,28100
E02001038,22000
E02001039,21200
E02001040,26200
E02001041,23300
E02001042,26300
E02001043,23600
E02001044,22700
E02001045,18500
E02001046,18400
E02001047,19000
E02001048,18200
E02001049,21800
E02001050,16500
E02001051,19000
E02001052,14500
E02001053,14900
E02001055,17600
E02001056,15100
E02001057,19100
E02001059,16800
E02001061,16600
E02001062,15900
E02001063,19500
E02001064,15500
E02001065,17700
E02001066,14900
E02001067,14400
E02001068,13800
E02001069,16400
E02001070,19500
E02001071,14700
E02001072,19200
E02001073,25900
E02001074,18200
E02001075,17400
E02001076,20800
E02001077,27400
E02001078,21100
E02001079,19300
E02001080,23700
E02001081,29300
E02001082,27100
E02001083,27900
E02001084,26000
E02001085,18400
E02001086,24300
E02001087,33500
E02001088,20000
E02001089,28000
E02001090,26100
E02001091,23800
E02001092,19500
E02001093,18000
E02001094,15700
E02001095,18400
E02001096,21000
E02001097,19100
E02006902,24400
E02006912,22700
E02006913,17700
E02006914,23300
E02006915,15600
E02006916,20800
E02006917,33500
E02001098,24100
E02001099,21800
E02001100,25200
E02001101,27500
E02001102,24200
E02001103,29200
E02001104,24400
E02001105,25100
E02001106,23600
E02001107,23000
E02001108,19000
E02001109,19300
E02001110,29700
E02001111,14100
E02001112,29100
E02001113,15300
E02001114,22600
E02001115,23500
E02001116,17900
E02001117,30200
E02001118,29800
E02001119,14900
E02001121,15300
E02001123,18000
E02001124,18800
E02001125,24200
E02001126,17400
E02001127,18200
E02001128,22200
E02001129,20600
E02001130,24800
E02001131,24500
E02006860,16200
E02001132,24200
E02001133,26200
E02001134,28200
E02001135,16700
E02001136,23300
E02001137,28800
E02001138,28700
E02001139,15500
E02001140,19200
E02001141,15100
E02001142,28700
E02001143,17800
E02001144,22900
E02001145,24100
E02001146,15300
E02001147,19100
E02001148,21200
E02001149,19300
E02001150,20500
E02001151,25400
E02001152,20900
E02001153,18300
E02001154,22800
E02001155,22600
E02001156,28200
E02001157,17200
E02001158,19000
E02001159,21800
E02001160,19200
E02001161,22200
E02001162,23100
E02001163,25300
E02001164,21300
E02001165,22400
E02001166,18600
E02001167,20600
E02001168,22500
E02001169,32300
E02001170,33400
E02001171,26600
E02001172,15400
E02001173,17200
E02001174,24200
E02001175,21300
E02001176,24900
E02001177,20900
E02001178,19800
E02001179,18500
E02001180,15400
E02001181,17900
E02001182,18700
E02001183,20800
E02001184,21700
E02001185,22800
E02001186,23300
E02001187,23600
