MSOAcode,Year,NAIAHC
E02004297,2012,23400
E02004290,2012,23920
E02004298,2012,24440
E02004299,2012,19760
E02004291,2012,19240
E02004300,2012,18200
E02004292,2012,23920
E02004301,2012,17680
E02004302,2012,18200
E02004303,2012,20280
E02004293,2012,18200
E02004304,2012,19760
E02004294,2012,27040
E02004305,2012,19240
E02004295,2012,22360
E02004320,2012,22360
E02004321,2012,19760
E02004322,2012,17680
E02004296,2012,20800
E02004306,2012,25480
E02004323,2012,19760
E02004308,2012,27040
E02004309,2012,23400
E02004307,2012,21320
E02004324,2012,21320
E02004310,2012,21320
E02004311,2012,22360
E02004312,2012,26000
E02004313,2012,18720
E02004314,2012,21320
E02004316,2012,20800
E02004325,2012,17680
E02004315,2012,28600
E02004326,2012,20800
E02004328,2012,19760
E02004327,2012,20280
E02004329,2012,23920
E02004317,2012,20280
E02004330,2012,19760
E02004331,2012,19240
E02004318,2012,24440
E02004348,2012,22360
E02004332,2012,21840
E02004319,2012,22880
E02004349,2012,18720
E02004350,2012,21320
E02004333,2012,22360
E02004334,2012,20800
E02004335,2012,16640
E02004336,2012,18720
E02004351,2012,18200
E02004337,2012,20280
E02004338,2012,18200
E02004339,2012,27560
E02004352,2012,19240
E02004353,2012,22360
E02004354,2012,20280
E02004355,2012,17160
E02004340,2012,18200
E02004341,2012,25480
E02004342,2012,17160
E02004343,2012,19240
E02004344,2012,21320
E02004345,2012,21320
E02004346,2012,24440
E02004347,2012,21320
E02002559,2012,27040
E02002560,2012,21840
E02002561,2012,23400
E02002562,2012,16640
E02002563,2012,19760
E02002564,2012,18720
E02002565,2012,21320
E02002566,2012,17160
E02002567,2012,17160
E02002568,2012,29120
E02002569,2012,27040
E02002570,2012,16640
E02002571,2012,17680
E02002572,2012,18200
E02002573,2012,25480
E02002483,2012,21840
E02002484,2012,15600
E02002485,2012,16120
E02002487,2012,16640
E02002488,2012,24960
E02002489,2012,16640
E02002490,2012,17680
E02002491,2012,17160
E02002492,2012,18200
E02002493,2012,22880
E02002494,2012,15600
E02006909,2012,24960
E02002496,2012,12480
E02002497,2012,15080
E02002498,2012,13520
E02002499,2012,14560
E02002500,2012,18720
E02002501,2012,16120
E02002502,2012,15600
E02002503,2012,16640
E02002504,2012,21840
E02002505,2012,14560
E02002506,2012,15600
E02002507,2012,23400
E02002508,2012,22880
E02002509,2012,19240
E02002510,2012,22360
E02002512,2012,28080
E02002513,2012,18720
E02002514,2012,20280
E02006811,2012,26520
E02005706,2012,17680
E02005707,2012,22360
E02005708,2012,20280
E02005702,2012,26520
E02005703,2012,19760
E02005704,2012,21840
E02005705,2012,24960
E02005720,2012,20800
E02005734,2012,18200
E02005735,2012,18200
E02005721,2012,23400
E02005737,2012,21320
E02005736,2012,19760
E02005738,2012,22880
E02005722,2012,28080
E02005723,2012,20800
E02005739,2012,20800
E02005724,2012,30680
E02005727,2012,23920
E02005740,2012,18720
E02005741,2012,23920
E02005709,2012,15600
E02005710,2012,19240
E02005711,2012,18200
E02005712,2012,20800
E02005713,2012,26000
E02005714,2012,30680
E02005716,2012,21840
E02005715,2012,19240
E02005717,2012,22880
E02005718,2012,23400
E02005719,2012,21320
E02005725,2012,26520
E02005726,2012,30680
E02005730,2012,23400
E02005729,2012,28600
E02005728,2012,20800
E02005731,2012,21840
E02005732,2012,28080
E02005733,2012,24960
E02002515,2012,17680
E02002516,2012,18200
E02002517,2012,18200
E02002518,2012,23400
E02002519,2012,18200
E02002520,2012,22360
E02002521,2012,21840
E02002523,2012,14560
E02002524,2012,19240
E02002525,2012,19240
E02002526,2012,19760
E02002527,2012,16640
E02002529,2012,20280
E02002530,2012,19760
E02002532,2012,18200
E02002533,2012,25480
E02002534,2012,27040
E02006812,2012,20280
E02006910,2012,18200
E02002535,2012,24440
E02002536,2012,19240
E02002537,2012,16640
E02002538,2012,18720
E02002539,2012,27040
E02002540,2012,24960
E02002541,2012,20800
E02002542,2012,16640
E02002543,2012,16640
E02002544,2012,17160
E02002545,2012,22880
E02002546,2012,16640
E02002547,2012,23920
E02002548,2012,14560
E02002549,2012,23920
E02002550,2012,22360
E02002551,2012,15600
E02002552,2012,18200
E02002553,2012,18720
E02002554,2012,17680
E02002555,2012,25480
E02002556,2012,27040
E02002557,2012,27560
E02002558,2012,28080
E02001682,2012,22360
E02001683,2012,22880
E02001684,2012,18200
E02001685,2012,17680
E02001686,2012,21320
E02001688,2012,17680
E02001689,2012,17160
E02001690,2012,20800
E02001691,2012,19760
E02001692,2012,16640
E02001693,2012,17160
E02001694,2012,20280
E02001695,2012,22360
E02001696,2012,17160
E02001697,2012,24440
E02001698,2012,26000
E02001699,2012,19760
E02001700,2012,21320
E02001701,2012,25480
E02001702,2012,16640
E02001703,2012,23920
E02001704,2012,18200
E02001705,2012,20280
E02001706,2012,19240
